name,SMILES
C16,CCCCCCCCCCCCCCCC(=O)O
ACT,CC(=O)O
C7,CCCCCCC(=O)O
C12,CCCCCCCCCCCC(=O)O
C8,CCCCCCCC(=O)O
C14,CCCCCCCCCCCCCC(=O)O
SUC,C(CC(=O)O)C(=O)O
TOS,Cc1ccc(cc1)S(-*)(=O)=O
BZA,C1=CC=C(C=C1)C(=O)O
Bn,*CC1=CC=CC=C1
6-Me-C8,CCC(C)CCCCC(=O)O
C6,CCCCCC(=O)O
C10,CCCCCCCCCC(=O)O
C11,CCCCCCCCCCC(=O)O
C18,CCCCCCCCCCCCCCCCCC(=O)O
DNS,CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)*
C4,CCCC(=O)O
FMOC,*C(=O)OCC1c2ccccc2-c3ccccc13
FOR,*C=O
4Me-GUAN,CN(C)C(=N)*C
PEG 3000,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC*
Ch,C[N+](C)(C)CCO
Fluo,C1=CC2=C(C=C1C(=O)O)C3(C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O)OC2=O
PEG 2000,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC*
pHCA,C1=CC(=CC=C1C=CC(=O)O)O
CIN,C1=CC=C(C=C1)/C=C/C(=O)O
HPPA,C1=CC(=CC=C1CCC(=O)O)O
B7,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2
3-OH-11-Me-C13,CCC(C)CCCCCCCC(CC(=O)O)O
"3-OH-9,11-Me-C13",OC(CC(=O)O)CCCCCC(CC(CC)C)C
"7,9-Me-(E)2-C11",CC(CCC/C=C/C(=O)O)CC(CC)C
"3-OH-8,10-Me-C12",OC(CC(=O)O)CCCCC(CC(CC)C)C
3-OH-C7,CCCCC(CC(=O)O)O
3-OH-C6,CCCC(CC(=O)O)O
Boc,*C(=O)OC(C)(C)C
3MeACl,*(C)(C)(C).[Cl-]
2MeACl,*(C)(C).[Cl-]
3-OH-4-Me-C16,CCCCCCCCCCCCC(C)C(CC(=O)O)O
"3,4-OH-4-Me-C16",OC(CC(=O)O)C(CCCCCCCCCCCC)(O)C
C3,CCC(=O)O
C5,CCCCC(=O)O
LIN,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
DiMIQ,CC1=C2C3=CC=CC=C3N=C2N(C4=CC=C(*)C=C14)C
C9,CCCCCCCCC(=O)O
C9B,CC(C)CCCCCCC(=O)O
C20,CCCCCCCCCCCCCCCCCCCC(=O)O
3-OH-C16,CCCCCCCCCCCCCC(CC(=O)O)O
F7,C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(=O)O
F9,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
F9B,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F))C(F)(F)F
F11,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
"2,2-Me-C4",CC(C(=O)O)(CC)C
4-Me-C6,CCC(C)CCC(=O)O
GER,CC(=CCC/C(=C/CO)/C)C
3-OH-6-Me-C8,CCC(C)CCC(CC(=O)O)O
C15,CCCCCCCCCCCCCCC(=O)O
Chol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
4-OMe-C10,CCCCCCC(CCC(=O)O)OC
C11:1,C=CCCCCCCCCC(=O)O
17-Me-C18:1,CC(CCCCCCCCCCCCCC=CC(=O)O)C
C17:1,CCCCCCCCCCC#CCCCCC(=O)O
C20:1,C(CCCCC=CCCCCCCCCCCCCC)(=O)O
2-Me-C10,CCCCCCCCC(C)C(=O)O
Pic,C1=CC=NC(=C1)C(=O)O
Ph-Pr,C1=CC=C(C=C1)CCC(=O)O
DiFPhAct,FC1=CC(=CC(=C1)F)CC(=O)O
3-OH-5-Me-C6,CC(C)CC(CC(=O)O)O
AdAcA,C12(CC3CC(CC(C1)C3)C2)CC(=O)O
3-OH-7-Me-C8,CC(C)CCCC(CC(=O)O)O
3-OH-C14,CCCCCCCCCCCC(CC(=O)O)O
3-OH-4-Me-C15,OC(CC(=O)O)C(CCCCCCCCCCC)C
TFA,C(=O)(C(F)(F)F)O
"3,5 Bis-(Me)Tol",CC=1C=C(C(=O)O)C=C(C1C)C
 C10(6),CCCCCCCCC(CCCCCC)C(=O)O
3-OH-4-Me-C5,CC(C)C(CC(=O)O)O
3-OH-4-Me-C6,CCC(C)C(CC(=O)O)O
3-OH-2-Me-C5,OC(C(C(=O)O)C)CC
MPA,C(CS)C(=O)O
Cbz,C1=CC=C(C=C1)COC(*)(=O)
C13,CCCCCCCCCCCCC(=O)O
"(E)5,8-C14",CCCCC/C=C/C/C=C/CCCC(=O)O
GUAN,C(=N)(N)*
13-Me-(E)2-C14,CC(CCCCCCCCCC=CC(=O)O)C
HABPA,CC=1C=C(C(=C(C1C(=O)O)C)C)C1=CC(=CC(=C1C)C)C
3-OH-13-Me-C14,OC(CC(=O)O)CCCCCCCCCC(C)C
VitE,CC1=C(C(=C(C2=C1O[C@](CC2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)OC(=O)CCC(=O)O)C
PEG 5000,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC*
OMe-CIN,COC1=CC=C(C=C1)/C=C/C(=O)O
"3,4-OMe-CIN",COC1=C(C=C(C=C1)/C=C/C(=O)O)OC
N-CIN,C1=CC=C(C(=C1)/C=C/C(=O)O)[N+](=O)[O-]
BiPhAc,C1=CC=C(C=C1)C2=CC=CC=C2CC(=O)O
Pac,O=C(O)Cc1ccccc1
CAA,C(C(=O)O)Cl
FeC(O),[C-]1(C=CC=C1)C(=O)O.[CH-]1C=CC=C1.[Fe+2]
RuC(O),[C-]1(C=CC=C1)C(=O)O.[CH-]1C=CC=C1.[Ru+2]
7-Me-C8,CC(C)CCCCCC(=O)O
DiPhAc,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)O
5-Me-C6,CC(C)CCCC(=O)O
OIle,CC[C@@H](C)[C@H](C(=O)O)O
OVal,CC(C)C(C(=O)O)O
"(E)2,4,6-C8",C/C=C/C=C/C=C/C(=O)O
SA,C(\C=C\C=C\C)(=O)O
Oxo-SA,O=C/C=C/C=C/C(=O)O
"6,7-OH-(E)2,4-C8",CC(C(C=CC=CC(=O)O)O)O
3-OH-4-Me-C10,CCCCCC[C@H](C)[C@H](CC(=O)O)O
3-OH-4-Me-C8,CCCCC(C)C(CC(=O)O)O
(E)2-C4-Thz-Dtena,OC(C(C(=O)O)C)CC(CC(C(CC=1SCC(N1)C(C(=C)C)=O)(C)C)O)C
 OLeu,CC(C)CC(C(=O)O)O
3-OH-C13,CCCCCCCCCCC(CC(=O)O)O
3-OH-C20,OC(CC(=O)O)CCCCCCCCCCCCCCCCC
D-OIle,O[C@@H](C(=O)O)C(CC)C
D-OVal,CC(C)[C@H](C(=O)O)O
MeO-Oya-2-ene,COC(=CC(=O)O)CCCC#C
Keto-Oya,O=C(CC(=O)O)CCCC#C
"4,4-Cl-3-Me-C4",CC(CC(=O)O)C(Cl)Cl
Hmoya,OC(C(C(=O)O)C)C#CCCC
"2,4-Me-C8",CCCCC(C)CC(C)C(=O)O
PIV,CC(C)(C)C(=O)O
3-OH-12-Me-C14,CCC(C)CCCCCCCCC(CC(=O)O)O
"3-OH-9,11-Me-C14",OC(CC(=O)O)CCCCCC(CC(CCC)C)C
MeOya,CC(C(=O)O)=CCCC#CC
D-OPhe,C1=CC=C(C=C1)C[C@H](C(=O)O)O
MeOAc,COCC(=O)O
2-Me-3-OH-C9,CC(C(=O)O)C(CCCCCC)O
"3-OH-2,4-Me-C10",CCCCCCC(C)C(C(C)C(=O)O)O
"3-OH-2,4,6-Me-C12",OC(C(C(=O)O)C)C(CC(CCCCCC)C)C
12-Me-(E)3-C13,CC(CCCCCCCC=CCC(=O)O)C
8-Me-C9,CC(C)CCCCCCC(=O)O
2-OH-C8,CCCCCCC(C(=O)O)O
PyBA,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CCCC(=O)O
6-Pha,C1=CC=C(C=C1)CCCCCC(=O)O
BCHC,C1[C@@H]2C[C@@H]([C@H]1C=C2)C(=O)O
PCPC,C1CC1(C2=CC=CC=C2)C(=O)O
AdCA,C1C2CC3CC1CC(C2)(C3)C(=O)O
Di-BrPh-PY,BrC1=CC=C(C=C1)C1=NC(=CC(=C1)C(=O)O)C1=CC=C(C=C1)Br
6-Me-C7,CC(C)CCCCC(=O)O
2-ClPhNHCO,ClC1=C(C(=O)O)C=CC=C1
PhBz,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)O
PhOBz,C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)O
Ph-4-PhNHCO,C(O)(=O)C1=CC=C(C=C1)C1=CC=CC=C1
HIP,OC(C(=O)O)(C)C(CC(C)C)=O
3-OH-C18,CCCCCCCCCCCCCCCC(CC(=O)O)O
2-Cl-Bz,ClC1=C(C(=O)O)C=CC=C1
